FighterID,Wins,Knockouts,Losses,Draws
1,25,7,0,0
2,13,6,0,0
3,23,8,0,0
4,14,6,0,0
5,12,4,0,0
6,20,3,0,0
7,14,7,0,0
8,9,3,0,0
9,20,4,0,0
10,16,9,0,0
11,19,5,0,0
12,7,1,0,0
13,17,6,0,0
14,17,5,0,0
15,10,2,0,0
16,16,6,0,0
17,9,2,0,0
18,14,9,0,0
19,11,3,0,0
20,8,5,0,0
21,7,2,0,0
22,16,4,0,0
23,16,2,0,0
24,19,11,0,0
25,18,8,0,0
26,16,3,0,0
27,15,4,0,0
28,14,2,0,0
29,11,8,0,0
30,8,6,0,0
31,9,2,0,0
32,9,5,0,0
33,10,2,0,0
34,23,6,0,0
35,22,8,0,0
36,20,9,0,0
37,18,7,0,0
38,16,5,0,0
39,12,4,0,0
40,8,2,0,0
41,8,2,0,0
42,8,2,0,0
43,7,3,0,0
44,4,4,0,0
45,18,6,0,0
46,17,6,0,0
47,15,6,0,0
48,13,7,0,0
49,12,6,0,0
50,11,3,0,0
51,10,2,0,0
52,9,4,0,0
53,10,2,0,0
54,2,1,0,0
55,23,6,0,0
56,21,9,0,0
57,15,8,0,0
58,14,6,0,0
59,12,4,0,0
60,10,5,0,0
61,10,5,0,0
62,10,3,0,0
63,9,4,0,0
64,8,3,0,0
65,17,3,0,0
66,12,4,0,0
67,10,7,0,0
68,10,6,0,0
69,11,3,0,0
70,10,5,0,0
71,11,1,0,0
72,10,3,0,0
73,9,3,0,0
74,12,3,0,0
75,25,5,0,0
76,18,2,0,0
77,15,7,0,0
78,14,4,0,0
79,11,7,0,0
80,11,4,0,0
81,11,3,0,0
82,10,5,0,0
83,8,3,0,0
84,8,3,0,0
85,7,3,0,0
86,24,8,0,0
87,19,3,0,0
88,16,5,0,0
89,14,4,0,0
90,13,5,0,0
91,12,7,0,0
92,12,4,0,0
93,11,6,0,0
94,12,3,0,0
95,10,4,0,0
96,12,2,0,0
97,0,0,0,0
98,0,0,0,0
99,15,7,0,0
100,14,4,0,0
101,13,5,0,0
102,12,7,0,0
103,11,3,0,0
104,10,5,0,0
105,10,5,0,0
106,10,3,0,0
107,9,4,0,0
108,9,4,0,0
109,8,5,0,0
110,9,2,0,0
111,24,6,0,0
112,20,5,0,0
113,18,4,0,0
114,18,4,0,0
115,14,7,0,0
116,12,7,0,0
117,11,7,0,0
118,9,3,0,0
119,7,2,0,0
120,6,4,0,0
121,6,1,0,0
122,17,5,0,0
123,16,7,0,0
124,15,6,0,0
125,16,2,0,0
126,14,6,0,0
127,13,9,0,0
128,14,2,0,0
129,11,6,0,0
130,12,3,0,0
131,7,2,0,0
132,5,1,0,0
133,22,4,0,0
134,21,5,0,0
135,17,5,0,0
136,16,4,0,0
137,15,5,0,0
138,14,4,0,0
139,11,6,0,0
140,11,5,0,0
141,9,4,0,0
142,8,4,0,0
143,7,3,0,0
144,6,3,0,0
145,16,4,0,0
146,18,9,0,0
147,14,7,0,0
148,13,7,0,0
149,12,6,0,0
150,12,4,0,0
151,11,5,0,0
152,11,5,0,0
153,9,6,0,0
154,9,4,0,0
155,8,2,0,0
156,0,0,0,0
157,21,13,0,0
158,15,7,0,0
159,11,3,0,0
160,10,4,0,0
161,9,4,0,0
162,8,4,0,0
163,8,2,0,0
164,7,2,0,0
165,6,2,0,0
166,6,1,0,0
167,20,7,0,0
168,20,3,0,0
169,19,5,0,0
170,16,4,0,0
171,13,5,0,0
172,13,5,0,0
173,13,4,0,0
174,12,6,0,0
175,11,3,0,0
176,9,1,0,0
177,14,10,0,0
178,16,3,0,0
179,13,4,0,0
180,13,1,0,0
181,12,2,0,0
182,9,2,0,0
183,10,3,0,0
184,7,3,0,0
185,7,2,0,0
186,6,3,0,0
187,8,2,0,0
188,0,0,0,0
189,0,0,0,0
190,2,0,0,0
191,21,5,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,10,4,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
201,5,1,0,0
202,13,5,0,0
203,11,3,0,0
204,0,0,0,0
205,0,0,0,0
