FightID,RedCornerFighterID,BlueCornerFighterID,WeightClass,Date,Championship,Status
000001,177,179,105,08-01-2000,1,Evented
000002,116,115,126,08-01-2000,1,Evented
000003,100,102,130,08-01-2000,1,Evented
000004,124,126,122,08-01-2000,1,Evented
000005,173,174,108,08-01-2000,1,Evented
000006,139,140,118,08-01-2000,1,Evented
000007,4,2,300,08-01-2000,1,Evented
000008,81,82,140,08-01-2000,1,Evented
000009,27,30,175,08-01-2000,1,Evented
00000A,58,56,154,08-01-2000,1,Evented
00000B,91,86,135,08-01-2000,1,Evented
00000C,157,160,112,08-01-2000,1,Evented
00000D,51,52,160,08-01-2000,1,Evented
00000E,70,68,147,08-01-2000,1,Evented
00000F,150,148,115,08-01-2000,1,Evented
000010,12,13,200,08-01-2000,1,Evented
000011,42,34,168,08-01-2000,1,Evented
