id,name,location,trainingCoach,conditioningCoach,fightPromoter
1,Abu Dhabi Legends,SA,7,9,7
2,Astana Iron Gym,KZ,8,8,6
3,Asunción Athletics,PA,5,3,6
4,Aussie Strike House,AU,5,5,7
5,Auxious Sparring Club,FR,8,7,6
6,Braun Arrow,DE,8,9,7
7,Crown Boxing Academy,US,6,7,8
8,Czech Combat Academy,CZ,6,6,3
9,El Camepón de Guatánamo,CU,10,10,8
10,Empire Fight Club,US,9,8,10
11,Golden Dragon Summit,CN,7,6,5
12,Hanoi Combat Academy,VN,9,1,3
13,Iron Borough Boxing,UK,8,8,9
14,K-Force,KR,6,7,5
15,Kingston,JM,4,7,4
16,Kremlin Boxing Citadel,RU,10,10,7
17,Kyiv Steel,UA,10,10,8
18,La Ceiba Sparring Club,HN,9,9,5
19,Lion City Lab,SG,5,6,6
20,Manilla Power House,PH,8,7,7
21,Maple Leaf Academy,CA,8,8,9
22,Mogadishu Academy,SO,6,8,4
23,Monzón's,AR,9,8,7
24,Novi Tashkent Sad,UZ,8,7,1
25,Pacific Combat Academy,NZ,4,6,7
26,Phantom Fighters,HK,7,6,6
27,Ranelagh Training Centre,IE,5,7,7
28,San Juan Palace,PR,4,8,7
29,Santo Domingo Fight,DO,9,9,2
30,São Paulo Thunder,BR,8,10,8
31,Scandinavian Warriors,DK,5,6,3
32,Siam Strike Academy,TH,8,7,5
33,Stockholm Fitness,SE,2,8,3
34,Strike Force,KH,7,5,4
35,Taipei Training Centre,TW,5,8,0
36,Tallinn,EE,5,5,5
37,Tokyo Legends,JP,9,9,8
38,Trondheim Lodge,NO,5,6,5
39,Velázquez Iron,MX,10,10,9
