FighterID,Wins,Knockouts,Losses,Draws
1,25,7,0,0
2,13,6,1,0
3,23,8,0,0
4,15,6,0,0
5,12,4,1,0
6,20,3,0,0
7,14,7,1,0
8,9,3,0,0
9,24,8,0,0
10,17,9,0,0
11,19,5,0,0
12,7,1,1,0
13,19,6,0,0
14,17,5,1,0
15,11,2,0,0
16,16,6,1,0
17,9,2,1,0
18,15,9,0,0
19,11,3,0,0
20,9,6,0,0
21,7,2,1,0
22,17,4,0,0
23,16,2,1,0
24,20,11,0,0
25,18,8,1,0
26,16,3,0,0
27,15,4,1,0
28,15,2,0,0
29,11,8,1,0
30,9,6,0,0
31,9,2,1,0
32,10,5,0,0
33,10,2,0,0
34,24,7,0,0
35,22,8,0,0
36,21,9,0,0
37,18,7,1,0
38,16,5,0,1
39,12,4,0,0
40,8,2,0,1
41,8,2,0,0
42,8,2,2,0
43,7,3,1,0
44,5,5,0,0
45,18,6,0,0
46,17,6,0,1
47,15,6,0,1
48,13,7,1,0
49,12,6,1,0
50,12,3,0,0
51,11,2,0,0
52,9,4,1,0
53,11,2,0,0
54,2,1,0,0
55,23,6,0,1
56,21,9,1,0
57,15,8,1,0
58,15,6,1,0
59,13,4,0,0
60,10,5,0,0
61,10,5,0,0
62,11,3,0,0
63,10,4,0,0
64,8,3,1,0
65,17,3,1,0
66,13,4,0,0
67,11,7,0,0
68,10,6,1,0
69,11,3,0,0
70,11,6,0,0
71,11,1,0,1
72,10,3,0,1
73,9,3,1,0
74,12,3,0,0
75,26,5,0,0
76,18,2,0,0
77,15,7,0,0
78,14,4,1,0
79,11,7,0,1
80,11,4,0,1
81,12,3,0,0
82,10,5,1,1
83,8,3,1,0
84,8,3,0,1
85,7,3,0,0
86,24,8,1,0
87,20,3,0,0
88,16,5,0,0
89,15,4,0,0
90,13,5,0,0
91,13,8,0,0
92,12,4,1,0
93,11,6,1,0
94,12,3,0,0
95,10,4,1,0
96,13,2,0,0
97,1,0,0,0
98,0,0,0,0
99,15,7,0,1
100,15,5,0,0
101,13,5,1,0
102,12,7,1,0
103,11,3,0,1
104,10,5,0,0
105,11,5,0,0
106,10,3,0,0
107,9,4,0,1
108,9,4,0,0
109,8,5,0,0
110,9,2,0,1
111,25,6,0,0
112,20,5,0,0
113,18,4,1,0
114,18,4,0,0
115,14,7,1,0
116,13,7,0,0
117,11,7,1,0
118,9,3,0,0
119,8,2,0,0
120,6,4,0,0
121,6,1,0,0
122,18,5,0,0
123,16,7,0,0
124,16,6,0,0
125,16,2,0,1
126,14,6,1,0
127,13,9,0,0
128,14,2,0,1
129,11,6,0,0
130,12,3,1,0
131,7,2,0,0
132,5,1,0,0
133,22,4,0,0
134,21,5,0,0
135,17,5,1,0
136,16,4,0,0
137,16,5,0,0
138,14,4,1,0
139,13,6,0,0
140,11,5,1,0
141,9,4,0,0
142,8,4,0,0
143,8,3,1,0
144,7,3,0,0
145,16,4,0,1
146,18,9,0,0
147,15,7,0,0
148,14,7,0,0
149,12,6,0,0
150,12,4,1,0
151,11,5,1,0
152,11,5,0,1
153,9,6,0,1
154,9,4,1,0
155,8,2,0,0
156,1,0,0,0
157,22,13,0,0
158,15,7,1,0
159,11,3,1,0
160,10,4,1,0
161,9,4,0,0
162,8,4,0,0
163,9,2,0,0
164,7,2,0,1
165,6,2,0,0
166,7,1,0,0
167,20,7,0,1
168,5,1,0,1
169,19,5,0,0
170,16,4,1,0
171,13,5,0,1
172,13,5,0,0
173,15,5,0,0
174,12,6,1,1
175,11,3,1,0
176,9,1,0,1
177,15,10,0,0
178,16,3,0,0
179,13,4,1,0
180,13,1,0,0
181,12,2,0,0
182,10,2,0,0
183,10,3,1,0
184,7,3,1,0
185,8,2,0,0
186,7,3,0,0
187,8,2,1,0
188,1,0,0,0
189,0,0,1,0
190,2,0,0,1
191,21,5,1,0
192,0,0,1,0
193,1,0,0,0
194,0,0,1,0
195,1,0,0,0
196,11,4,0,0
197,1,0,0,0
198,0,0,1,0
199,1,0,0,0
200,0,0,1,0
201,5,1,0,1
202,13,5,1,0
203,12,3,0,0
204,1,0,0,0
205,0,0,1,0
206,13,3,0,0
207,1,1,0,0
208,6,2,0,0
209,17,4,0,0
210,10,3,0,0
211,2,0,0,0
212,5,2,0,0
213,2,1,0,0
214,1,1,0,0
215,1,1,0,0
216,1,1,1,0
217,22,5,0,0
218,1,1,1,0
219,2,1,0,0
220,1,1,0,0
221,19,2,0,0
222,14,2,0,0
223,1,1,0,0
224,17,5,0,0
225,7,1,0,0
226,1,0,0,0
227,1,0,0,0
228,13,4,0,0
229,2,0,0,0
230,2,0,0,0
231,19,3,0,0
232,5,1,0,0
233,3,0,0,0
234,22,3,0,0
235,7,2,0,0
236,20,8,1,0
237,2,0,0,0
238,7,1,0,0
239,7,0,0,0
240,23,6,0,0
241,1,1,0,0
242,25,7,0,0
243,12,3,0,0
244,7,2,0,0
245,1,1,0,0
246,13,5,0,0
247,9,3,1,0
248,6,2,0,1
249,7,1,0,0
250,2,0,1,0
251,7,1,0,0
252,9,3,0,0
253,1,1,0,0
254,1,1,0,0
255,5,2,0,0
256,14,5,0,0
257,4,0,0,0
258,18,5,0,0
259,7,1,0,0
260,1,1,0,0
261,1,1,0,0
262,1,1,0,0
263,10,3,0,0
264,5,2,0,0
265,8,2,0,0
266,9,2,0,0
267,6,2,0,0
268,1,1,0,0
269,1,1,0,0
270,1,1,0,0
271,1,1,0,0
272,10,5,0,0
273,1,1,0,0
274,1,1,0,0
275,1,1,0,0
276,1,1,0,0
277,16,4,0,0
278,1,1,0,0
279,1,1,0,0
280,8,2,0,0
281,4,2,0,0
282,14,3,0,0
283,5,1,0,0
284,16,4,0,0
285,7,3,0,0
286,1,0,0,0
287,1,0,0,0
288,1,0,0,0
289,1,1,0,0
290,1,0,0,0
291,1,0,0,0
292,1,0,0,0
293,0,0,1,0
294,16,4,0,0
295,0,0,1,0
296,1,0,0,0
297,12,2,0,0
298,8,3,0,0
299,11,3,0,0
300,21,4,0,0
301,14,6,0,0
302,3,1,0,0
303,19,4,0,0
304,16,4,0,0
